plot_id,x,y,project_id,Strata
1,-1115430,1759950,1211,99
2,272760,1458900,1211,99
3,-537870,1936560,1211,99
4,-103260,2202720,1211,99
5,-1979280,1773390,1211,99
6,-1891770,2605350,1211,99
7,-583350,1468800,1211,99
8,19590,2018400,1211,99
9,-1334610,2574180,1211,99
10,-1865640,2322510,1211,99
11,-2240730,2260620,1211,99
12,18990,1193520,1211,99
13,1006440,1223040,1211,99
14,-800190,2390250,1211,99
15,-258180,960150,1211,99
16,155220,2246070,1211,99
17,1968240,2543970,1211,99
18,-908850,2620380,1211,99
19,-1085100,2249400,1211,99
20,-2000550,2765940,1211,99
21,-2095530,1546020,1211,99
22,399420,2095980,1211,99
23,-1109250,1231440,1211,99
24,1455270,1337490,1211,99
25,1989420,2496270,1211,99
26,-395700,1070010,1211,99
27,-2237130,1704930,1211,99
28,1314960,789210,1211,99
29,-134160,2710800,1211,99
30,-205020,1847490,1211,99
31,147810,1193070,1211,99
32,-1318680,2442150,1211,99
33,-969180,1205640,1211,99
34,-2146320,2712540,1211,99
35,-1914270,1638390,1211,99
36,947700,1556940,1211,99
37,-391800,1609170,1211,99
38,42000,659310,1211,99
39,-505890,755010,1211,99
40,-1785150,1535520,1211,99
41,-62430,2741640,1211,99
42,-1945440,1747140,1211,99
43,-328290,1762290,1211,99
44,-582870,1193850,1211,99
45,128700,1567560,1211,99
46,-1431450,1701090,1211,99
47,1266870,1586730,1211,99
48,-1803360,2778270,1211,99
49,-721890,713070,1211,99
50,-1150050,1255620,1211,99
51,-191160,1151160,1211,99
52,-43470,2151270,1211,99
53,5820,2855700,1211,99
54,-865020,2382480,1211,99
55,449190,1745250,1211,99
56,1587660,1469850,1211,99
57,63600,1308870,1211,99
58,-1336050,2987250,1211,99
59,-129840,2215440,1211,99
60,-783270,831780,1211,99
61,-2000940,1889370,1211,99
62,1028100,1720920,1211,99
63,691080,1555680,1211,99
64,1077900,1060140,1211,99
65,-1990770,1788600,1211,99
66,28680,814440,1211,99
67,-1762470,2262720,1211,99
68,-318210,658650,1211,99
69,743970,1725480,1211,99
70,510210,2441280,1211,99
71,-1664790,1651260,1211,99
72,-1191690,1351440,1211,99
73,-454020,2795670,1211,99
74,1319700,1206660,1211,99
75,-1423920,1754610,1211,99
76,-1113660,1903800,1211,99
77,-2248620,2514120,1211,99
78,-1473180,1813020,1211,99
79,554970,2597820,1211,99
80,402030,2207340,1211,99
81,-1686480,2297610,1211,99
82,93450,1754550,1211,99
83,-961170,1609440,1211,99
84,-2059650,1921200,1211,99
85,-122940,985020,1211,99
86,-111600,1501710,1211,99
87,972330,1068990,1211,99
88,568110,1819320,1211,99
89,-1448250,1530420,1211,99
90,-47040,2848350,1211,99
91,-1606350,2650470,1211,99
92,2096130,2921430,1211,99
93,792540,1282560,1211,99
94,-783060,1644030,1211,99
95,1365780,528570,1211,99
96,-196830,2209350,1211,99
97,329850,874800,1211,99
98,-146310,2466090,1211,99
99,-948660,2728230,1211,99
100,-1352400,2213520,1211,99
101,-1021260,1132290,1211,99
102,-157710,2621250,1211,99
103,428430,1560870,1211,99
104,208770,2751750,1211,99
105,-957540,1454340,1211,99
106,-2321730,2253270,1211,99
107,-1065030,1267170,1211,99
108,-578550,2797560,1211,99
109,-1251120,1386870,1211,99
110,-1602300,2559030,1211,99
111,-648750,2085330,1211,99
112,-620550,1613490,1211,99
113,13620,2085840,1211,99
114,-450690,1035660,1211,99
115,680850,1797120,1211,99
116,-186600,470100,1211,99
117,644880,678270,1211,99
118,-2005920,2252970,1211,99
119,2086440,2710230,1211,99
120,-2062620,1478070,1211,99
121,-1286310,1570500,1211,99
122,787410,2347770,1211,99
123,-1508220,1740810,1211,99
124,1466070,1479480,1211,99
125,801180,2204280,1211,99
126,-1828230,2410440,1211,99
127,-1312140,1252800,1211,99
128,-1990920,2449350,1211,99
129,572400,2556930,1211,99
130,-2018160,1793790,1211,99
131,647580,2211420,1211,99
132,891990,1044390,1211,99
133,-467010,1329990,1211,99
134,-436020,917010,1211,99
135,-981870,2061390,1211,99
136,-378240,1394400,1211,99
137,432270,2633550,1211,99
138,-2341050,2290020,1211,99
139,-1424430,2379210,1211,99
140,85860,1369200,1211,99
141,1487670,701490,1211,99
142,244800,968670,1211,99
143,178290,2127840,1211,99
144,1568280,2125560,1211,99
145,-1765170,2560200,1211,99
146,994980,1715400,1211,99
147,-643650,897030,1211,99
148,1290570,980760,1211,99
149,1502940,2014890,1211,99
150,-1551750,1410540,1211,99
151,-1667640,1940430,1211,99
152,965100,2055360,1211,99
153,-1766130,2066340,1211,99
154,-568860,2192640,1211,99
155,61230,1258560,1211,99
156,330720,1846740,1211,99
157,-1080840,1687620,1211,99
158,-1508400,2011710,1211,99
159,-2318550,2245170,1211,99
160,780180,1617930,1211,99
161,914280,2136570,1211,99
162,-156690,2283450,1211,99
163,-793770,2388840,1211,99
164,1007220,1672260,1211,99
165,346740,2718600,1211,99
166,28050,2562960,1211,99
167,662310,2534190,1211,99
168,-814860,973740,1211,99
169,227670,1269900,1211,99
170,688770,1303110,1211,99
171,-5190,1267710,1211,99
172,119670,2613300,1211,99
173,-596400,2210130,1211,99
174,-1212990,2703000,1211,99
175,224460,2428140,1211,99
176,1056870,1495440,1211,99
177,-1783740,2829750,1211,99
178,-1306560,2720580,1211,99
179,-562950,2682630,1211,99
180,820890,1039230,1211,99
181,168870,1042140,1211,99
182,1004700,1669410,1211,99
183,-434640,1622970,1211,99
184,-1823040,1990560,1211,99
185,-438090,1177290,1211,99
186,-2043390,2543460,1211,99
187,564060,2538360,1211,99
188,730320,1892430,1211,99
189,1998420,2753880,1211,99
190,-1048200,1709250,1211,99
191,-871110,2112660,1211,99
192,1877910,2372190,1211,99
193,-1422450,2380050,1211,99
194,-1543380,1575930,1211,99
195,-585030,2086080,1211,99
196,-1871430,2208750,1211,99
197,169710,1313730,1211,99
198,-765300,2430000,1211,99
199,-780510,2026110,1211,99
200,-474060,1575060,1211,99
201,1496220,1211940,1211,99
202,842550,1695660,1211,99
203,330480,1026780,1211,99
204,823530,2613630,1211,99
205,910890,1656240,1211,99
206,-874410,1845900,1211,99
207,-1890750,2847960,1211,99
208,-1860600,2634120,1211,99
209,480120,760560,1211,99
210,846420,1036980,1211,99
211,731430,1872420,1211,99
212,-1940460,1901850,1211,99
213,-957840,1728420,1211,99
214,-1143150,1639350,1211,99
215,556770,962220,1211,99
216,1183410,2145990,1211,99
217,394950,1743510,1211,99
218,-1253520,2177820,1211,99
219,-1803990,2573430,1211,99
220,-1089390,1454670,1211,99
221,-1646040,2826570,1211,99
222,-1043640,1174260,1211,99
223,-971040,1681890,1211,99
224,-141060,2002500,1211,99
225,-1225170,1611510,1211,99
226,-1042050,2069100,1211,99
227,944820,1281720,1211,99
228,-2227110,2438580,1211,99
229,1813950,2272350,1211,99
230,1696260,1546650,1211,99
231,-143670,2071860,1211,99
232,-2198520,1571850,1211,99
233,-2098260,2155560,1211,99
234,2151780,2712780,1211,99
235,-983880,1933200,1211,99
236,47220,1569930,1211,99
237,2119620,2377890,1211,99
238,1083630,947010,1211,99
239,885420,2656620,1211,99
240,1492290,2090340,1211,99
241,-1464060,2193150,1211,99
242,1550130,1568760,1211,99
243,46590,1640160,1211,99
244,-1586670,2632050,1211,99
245,290040,2334900,1211,99
246,1309440,1372980,1211,99
247,933420,2035500,1211,99
248,751530,1938210,1211,99
249,-511080,1775520,1211,99
250,556560,2349000,1211,99
251,674220,846930,1211,99
252,1661760,2431410,1211,99
253,118830,2281350,1211,99
254,-1910310,2151660,1211,99
255,-752220,888000,1211,99
256,-320580,1709970,1211,99
257,1429560,1953210,1211,99
258,1497870,643200,1211,99
259,-1980810,1557600,1211,99
260,-1183830,1660860,1211,99
261,-1959060,2897670,1211,99
262,-471570,1921650,1211,99
263,-872250,2496930,1211,99
264,-389970,985260,1211,99
265,279270,1950600,1211,99
266,832290,1058760,1211,99
267,1206930,1611300,1211,99
268,-783840,1367310,1211,99
269,256410,1346400,1211,99
270,267060,2013450,1211,99
271,975030,1148490,1211,99
272,1182420,1313550,1211,99
273,-76800,1138260,1211,99
274,-927240,2137080,1211,99
275,-1142220,2581020,1211,99
276,-909630,1631910,1211,99
