File,Failure_Count
1995_0001_3132.out,61
1995_0002_3132.out,14
1995_0003_3132.out,8
1995_0004_3132.out,23
1995_0005_3132.out,26
1995_0006_3132.out,7
1995_0007_3132.out,26
1995_0008_3132.out,25
1995_0009_3132.out,26
1995_0010_3132.out,26
1995_0011_3132.out,61
1995_0012_3132.out,26
1995_0013_3132.out,25
1995_0014_3132.out,26
1995_0015_3132.out,26
1995_0016_3132.out,26
1995_0017_3132.out,29
1995_0018_3132.out,23
1995_0019_3132.out,46
1995_0020_3132.out,26
1995_0021_3132.out,14
1995_0022_3132.out,26
1995_0023_3132.out,26
1995_0024_3132.out,26
1995_0025_3132.out,26
1995_0026_3132.out,9
1995_0027_3132.out,25
1995_0028_3132.out,26
1995_0029_3132.out,26
1995_0030_3132.out,25
1995_0031_3132.out,26
1995_0032_3132.out,25
1995_0033_3132.out,26
1995_0034_3132.out,61
1995_0035_3132.out,26
1995_0036_3132.out,26
1995_0037_3132.out,26
1995_0038_3132.out,26
1995_0039_3132.out,26
1995_0040_3132.out,26
1995_0041_3132.out,8
1995_0042_3132.out,8
1995_0043_3132.out,26
1995_0044_3132.out,8
1995_0045_3132.out,61
1995_0046_3132.out,21
1995_0047_3132.out,26
1995_0048_3132.out,26
1995_0049_3132.out,26
1995_0050_3132.out,26
1995_0051_3132.out,26
1995_0052_3132.out,8
1995_0053_3132.out,26
1995_0054_3132.out,25
1995_0055_3132.out,26
1995_0056_3132.out,10
1995_0057_3132.out,6
1995_0058_3132.out,14
1995_0059_3132.out,8
1995_0060_3132.out,26
1995_0061_3132.out,26
1995_0062_3132.out,26
1995_0063_3132.out,8
1995_0064_3132.out,25
1995_0065_3132.out,8
1995_0066_3132.out,23
1995_0067_3132.out,26
1995_0068_3132.out,8
1995_0069_3132.out,26
1995_0070_3132.out,59
1995_0071_3132.out,26
1995_0072_3132.out,26
1995_0073_3132.out,12
1995_0074_3132.out,23
1995_0075_3132.out,61
1995_0076_3132.out,8
1995_0077_3132.out,26
1995_0078_3132.out,25
1995_0079_3132.out,26
1995_0080_3132.out,8
1995_0081_3132.out,26
1995_0082_3132.out,25
1995_0083_3132.out,9
1995_0084_3132.out,25
1995_0085_3132.out,8
1995_0086_3132.out,8
1995_0087_3132.out,63
1995_0088_3132.out,7
